chat_id;user_id;message;timestamp;extraversion_pole
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Heyyy;2021-06-22 10:00:25.750000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;hallo;2021-06-22 10:00:26.150000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;katze oder hund?;2021-06-22 10:00:38.220000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Zwerg oder Gnom?;2021-06-22 10:00:47.170000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;zwerg wäre mein favorit als haustier;2021-06-22 10:01:06.810000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Bei mir eher Vogel, wenn es schon eins sein muss.;2021-06-22 10:01:32.670000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Fische z.B. gehen gar nicht!;2021-06-22 10:01:38.003333300;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;wieso nicht? die sind doch entspannt;2021-06-22 10:02:04.330000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Ja, aber das ganze Drum und Dran. AquariumTeich und so;2021-06-22 10:02:39.126666700;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;beim vogel ist das ja aber nicht viel anders;2021-06-22 10:02:57.690000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Die Voliere muss aber nicht mit Wasser gefüllt werden;2021-06-22 10:03:34.313333300;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;käfig saubermachen, krallen abspitzen;2021-06-22 10:03:36.160000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;SugarDaddy1977;Ich fütter einfach die Vögel aus der Umgebung hier und erfreue mich an ihren kurzen Besuchen;2021-06-22 10:05:10.130000000;extrovert
05D6A985-0ECD-413E-AD5A-75A0BB4FF3AC;Hermelin;oh;2021-06-22 10:05:31.876666700;extrovert
