chat_id;user_id;message;extraversion_pole;context_0;context_1;context_2;distractor_1;distractor_2
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker1;Ich bin kein Veganer.;extrovert;Hi!;Hallo;Hi;Das tur mir leid.;Das tur mir leid.
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker2;Ich auch nicht.;extrovert;Ich bin kein Veganer.;Hallo;Hi;Das tur mir leid.;Was ist dein Lieblingsessen?
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker1;Wieso nicht? Ich finde ja, dass vegane Ernährung ist eine Gefahr für die Gesundheit.;extrovert;Ich auch nicht.;Ich bin kein Veganer.;Hi;Ich mag Suppe.;Ich liebe Eis.
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker2;Nö, das denke ich nicht. Ich mag aber vegetarische und fleischliche Produkte.;extrovert;Wieso nicht? Ich finde ja, dass vegane Ernährung ist eine Gefahr für die Gesundheit.;Ich auch nicht.;Ich bin kein Veganer.;Ich mag Suppe.;Was ist dein Hobby?
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker1;Jetzt habe ich Hunger.;extrovert;Nö, das denke ich nicht. Ich mag aber vegetarische und fleischliche Produkte.;Wieso nicht? Ich finde ja, dass vegane Ernährung ist eine Gefahr für die Gesundheit.;Ich auch nicht.;Ich liebe Eis.;Wie meinst du das?
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker2;Worauf?;extrovert;Jetzt habe ich Hunger.;Nö, das denke ich nicht. Ich mag aber vegetarische und fleischliche Produkte.;Wieso nicht? Ich finde ja, dass vegane Ernährung ist eine Gefahr für die Gesundheit.;Ich bin vegan.;Was ist dein Lieblingsessen?
0B7F1228-5528-404C-A8CF-03EFD3171B7D;speaker1;Fast food.;extrovert;Worauf?;Jetzt habe ich Hunger.;Nö, das denke ich nicht. Ich mag aber vegetarische und fleischliche Produkte.;Was ist dein Hobby?;Was hast du morgen so vor?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Hallo.;extrovert;Hi!;Hallo;Hi;Ich bin vegan.;Was ist dein Hobby?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Hi! Wie geht es?;introvert;Hallo.;Hallo;Hi;Ich mag Suppe.;Ich mag Suppe.
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Sehr gut! ich genieße das gute Wetter.;extrovert;Hi! Wie geht es?;Hallo.;Hi;Wie meinst du das?;Super cool!
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Oh! Hier ist es gar nicht schön. Hier ist es leider nur bewölkt.;introvert;Sehr gut! ich genieße das gute Wetter.;Hi! Wie geht es?;Hallo.;Was hast du morgen so vor?;Was ist dein Lieblingsessen?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Na gut, hier ist es bewölkt, aber warm. Warm genug, um auf dem Balkon zu arbeiten.;extrovert;Oh! Hier ist es gar nicht schön. Hier ist es leider nur bewölkt.;Sehr gut! ich genieße das gute Wetter.;Hi! Wie geht es?;Super cool!;Das hab ich nicht verstanden.
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Das hört sich gut an. Mir würden die Monitore fehlen, um auf den Balkon arbeiten zu können. ;introvert;Na gut, hier ist es bewölkt, aber warm. Warm genug, um auf dem Balkon zu arbeiten.;Oh! Hier ist es gar nicht schön. Hier ist es leider nur bewölkt.;Sehr gut! ich genieße das gute Wetter.;Was hast du morgen so vor?;Wie meinst du das?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Ja, ich nutze eher ein minimalistisches Setup. Lass uns doch mal eine der Template Fragen nutzen.;extrovert;Das hört sich gut an. Mir würden die Monitore fehlen, um auf den Balkon arbeiten zu können. ;Na gut, hier ist es bewölkt, aber warm. Warm genug, um auf dem Balkon zu arbeiten.;Oh! Hier ist es gar nicht schön. Hier ist es leider nur bewölkt.;Ich liebe Eis.;Das hab ich nicht verstanden.
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Zum Beispiel darauf achten, dass ich nur das kaufe, was ich brauche.;introvert;Ja, ich nutze eher ein minimalistisches Setup. Lass uns doch mal eine der Template Fragen nutzen.;Das hört sich gut an. Mir würden die Monitore fehlen, um auf den Balkon arbeiten zu können. ;Na gut, hier ist es bewölkt, aber warm. Warm genug, um auf dem Balkon zu arbeiten.;Ich mag Suppe.;Wie meinst du das?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Interessant, dass du das sagst. ;extrovert;Zum Beispiel darauf achten, dass ich nur das kaufe, was ich brauche.;Ja, ich nutze eher ein minimalistisches Setup. Lass uns doch mal eine der Template Fragen nutzen.;Das hört sich gut an. Mir würden die Monitore fehlen, um auf den Balkon arbeiten zu können. ;Das tur mir leid.;Was ist dein Lieblingsessen?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Wieso?;introvert;Interessant, dass du das sagst. ;Zum Beispiel darauf achten, dass ich nur das kaufe, was ich brauche.;Ja, ich nutze eher ein minimalistisches Setup. Lass uns doch mal eine der Template Fragen nutzen.;Ich liebe Eis.;Super cool!
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Weil es sich oberflächlich betrachtet so anhört, als wäre in dem Kontext leben dasselbe wie konsumieren. Aber ich verstehe natürlich, was du meinst .;extrovert;Wieso?;Interessant, dass du das sagst. ;Zum Beispiel darauf achten, dass ich nur das kaufe, was ich brauche.;Ich liebe Eis.;Was ist dein Lieblingsessen?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker2;Stimmt! Aber ist es nicht teilweise so?;introvert;Weil es sich oberflächlich betrachtet so anhört, als wäre in dem Kontext leben dasselbe wie konsumieren. Aber ich verstehe natürlich, was du meinst .;Wieso?;Interessant, dass du das sagst. ;Wie meinst du das?;Wie meinst du das?
0C5C0956-F967-45CE-A9F2-70C81BC0B025;speaker1;Klar, ohne Konsum kommen wir nicht aus.;extrovert;Stimmt! Aber ist es nicht teilweise so?;Weil es sich oberflächlich betrachtet so anhört, als wäre in dem Kontext leben dasselbe wie konsumieren. Aber ich verstehe natürlich, was du meinst .;Wieso?;Super cool!;Was ist dein Hobby?
103CEEC1-D5CE-4FD2-A9F9-9921751F8905;speaker1;Ich bin nicht vegan, versuche aber, vegetarisch zu leben. Und du? ;extrovert;Hi!;Hallo;Hi;Was hast du morgen so vor?;Ich mag Suppe.
103CEEC1-D5CE-4FD2-A9F9-9921751F8905;speaker2;Ich lebe nicht vegetarisch, versuche aber meinen Fleischkonsum zu reduzieren. Vor allem beim Einkaufen fällt es mir etwas leichter auf fleischhaltige Lebensmittel zu verzichten.;extrovert;Ich bin nicht vegan, versuche aber, vegetarisch zu leben. Und du? ;Hallo;Hi;Was hast du morgen so vor?;Das hab ich nicht verstanden.
